mm_yr,count_year,cases,cumulative_cases,fitted_cumulative_cases,ci_lower_95,ci_upper_95
1997-01-01,1996,492,75641,75677.7581309679,75599.37402634705,75756.22350700053
1998-01-01,1997,141,75782,75760.77599993792,75688.79382827775,75832.82662866783
1999-01-01,1998,100,75882,75843.8849388171,75778.0345913296,75909.79250959215
2000-01-01,1999,99,75981,75927.08504750863,75867.0067935157,75987.21087681469
2001-01-01,2000,85,76066,76010.37642602478,75955.5891666183,76065.20320383704
2002-01-01,2001,116,76182,76093.75917448805,76043.62098952082,76143.9304172918
2003-01-01,2002,44,76226,76177.23339313021,76130.89974754346,76223.59523760495
2004-01-01,2003,56,76282,76260.7991822936,76217.1943747044,76304.42893673712
2005-01-01,2004,37,76319,76344.45664243001,76302.28579305572,76386.65079884575
2006-01-01,2005,66,76385,76428.20587410203,76386.03205582219,76470.40297714873
2007-01-01,2006,55,76440,76512.04697798197,76468.42422872479,76555.69461259899
2008-01-01,2007,43,76483,76595.98005485316,76549.58902671254,76642.39919715509
2009-01-01,2008,140,76623,76680.00520560895,76629.73610651522,76730.30728122657
2010-01-01,2009,72,76695,76764.12253125387,76709.09247456219,76819.19206575766
2011-01-01,2010,63,76758,76848.33213290274,76787.85983240395,76908.85205680366
2012-01-01,2011,220,76978,76932.63411178184,76866.19951337554,76999.1261288701
2013-01-01,2012,55,77033,77017.02856922794,76944.23381391006,77089.89219359732
2014-01-01,2013,187,77220,77101.51560668953,77022.05327631369,77181.05991698775
2015-01-01,2014,667,77887,78044.18442394058,77962.1730274941,78126.28209131674
2016-01-01,2015,191,78078,78129.79824280075,78048.88821858072,78210.79214306525
2017-01-01,2016,86,78164,78215.50597930572,78134.9098486997,78296.18524479064
2018-01-01,2017,120,78284,78301.30773648206,78220.22361110472,78382.47591474348
2019-01-01,2018,381,78665,78387.20361746996,78304.83869374213,78469.65517672089
2020-01-01,2019,1274,79939,79890.74722984064,79813.6886316566,79967.88022663545
2021-01-01,2020,13,79952,79978.38671268533,79903.02322459791,80053.82128263058
2022-01-01,2021,49,80001,80066.12233531088,79991.58441778117,80140.72970891139
2023-01-01,2022,121,80122,80153.9542031824,80079.33743422132,80228.64049897008
2024-01-01,2023,59,80181,80241.8824218798,80166.27929473939,80317.55684873479
2025-01-01,2024,285,80466,80329.90709709916,80252.43901095836,80407.44996357615
2026-01-01,2025,2285,82751,82750.99999999943,82565.74202915108,82936.67364585923
