mm_yr,count_year,observed_cases,autoarima_fitted,exp_smoothing_fitted,autoarimax_fitted
1997-01-01,1996,492.0,126.61017079078765,0.0,85.64008820426277
1998-01-01,1997,141.0,203.1269696322943,0.0,86.90263288168963
1999-01-01,1998,100.0,109.55467344495007,15.853460198543445,88.18379056029288
2000-01-01,1999,99.0,122.02718223957717,35.698652243546974,89.48383564130297
2001-01-01,2000,85.0,116.32142219566482,55.44461802397734,90.80304657129643
2002-01-01,2001,116.0,111.48681606209307,75.0918534773678,92.14170590183436
2003-01-01,2002,44.0,128.66419048867618,94.64085292486276,93.5001003499802
2004-01-01,2003,56.0,81.93830391347736,114.0921060139817,94.87852085970907
2005-01-01,2004,37.0,108.50102374648333,133.4461027228497,96.27726266422287
2006-01-01,2005,66.0,81.84437516838727,152.70332887232604,97.69662534918437
2007-01-01,2006,55.0,116.03079221741844,171.86426902904782,99.1369129168826
2008-01-01,2007,43.0,93.53826485782423,190.92940402909304,100.59843385134495
2009-01-01,2008,140.0,92.38288056712754,209.89921288252435,102.08150118440932
2010-01-01,2009,72.0,149.85898491297385,228.77417384340734,103.58643256276939
2011-01-01,2010,63.0,94.05153044651522,247.5547586997402,105.1135503160092
2012-01-01,2011,220.0,107.62048398216278,266.2414402061478,106.66318152564068
2013-01-01,2012,55.0,169.19946719223978,284.834690352302,108.23565809515814
2014-01-01,2013,187.0,80.26975935417333,303.33497150852753,109.83131682112645
2015-01-01,2014,667.0,178.40952101467883,321.7427529331255,666.9887437832159
2016-01-01,2015,191.0,216.13377127080264,340.05850232019293,113.09355282790686
2017-01-01,2016,86.0,120.41916940978572,358.28266562017,114.7608288217568
2018-01-01,2017,120.0,110.45370127946622,376.4157062563583,116.45268454778572
2019-01-01,2018,381.0,130.93878610413088,394.4580819055151,118.16948237145435
2020-01-01,2019,1274.0,195.2448099796311,412.4102492776724,1274.0055042798433
2021-01-01,2020,13.0,270.9035590009497,430.2726688511952,25.054457994957012
2022-01-01,2021,49.0,36.95028987117019,448.0457573345086,25.423822077253373
2023-01-01,2022,121.0,141.9641106965079,465.7299806159183,125.29353058918339
2024-01-01,2023,59.0,118.66621947105439,483.3257835605578,127.14066413935083
2025-01-01,2024,285.0,95.36704029948844,500.83360627871974,129.01502896264225
2026-01-01,2025,2285.0,197.36931057186106,518.2538929584516,2285.067994943261
